,Operación,Precio,Cantidad,Budget,Crypto,Ganancia/Pérdida Acumulada,Rendimiento
0,Compra,195.6479949951172,5.111220281224743,0.0,5.111220281224743,0.0,0.0
1,Venta,195.54449462890625,5.111220281224743,999.4709868291085,0.0,-0.5290131708915169,-0.0005290131708915169
2,Compra,195.39300537109375,5.115183038056537,0.0,5.115183038056537,-0.5290131708915169,-0.0005290131708915169
3,Venta,194.47999572753906,5.115183038056537,994.8007753868155,0.0,-5.1992246131844695,-0.00519922461318447
4,Compra,195.9550018310547,5.076679676921422,0.0,5.076679676921422,-5.1992246131844695,-0.00519922461318447
5,Venta,196.36000061035156,5.076679676921422,996.8568244588499,0.0,-3.143175541149958,-0.003143175541149958
6,Compra,195.8699951171875,5.089379942356349,0.0,5.089379942356349,-3.143175541149958,-0.003143175541149958
7,Venta,196.4394989013672,5.089379942356349,999.7552455951501,0.0,-0.24475440484991395,-0.000244754404849914
8,Compra,196.89999389648438,5.077477280780152,0.0,5.077477280780152,-0.24475440484991395,-0.000244754404849914
9,Venta,195.6199951171875,5.077477280780152,993.2560808738438,0.0,-6.743919126156129,-0.006743919126156129
10,Compra,195.55419921875,5.0791856418423,0.0,5.0791856418423,-6.743919126156129,-0.006743919126156129
11,Venta,195.88839721679688,5.0791856418423,994.9535345470558,0.0,-5.046465452944062,-0.0050464654529440624
12,Compra,200.89999389648438,4.952481656419139,0.0,4.952481656419139,-5.046465452944062,-0.0050464654529440624
13,Venta,204.40989685058594,4.952481656419139,1012.3362645430552,0.0,12.336264543055222,0.012336264543055222
14,Compra,204.22500610351562,4.9569652799027555,0.0,4.9569652799027555,12.336264543055222,0.012336264543055222
15,Venta,205.0399932861328,4.9569652799027555,1016.3761277108545,0.0,16.376127710854462,0.016376127710854463
16,Compra,205.0800018310547,4.95599823793715,0.0,4.95599823793715,16.376127710854462,0.016376127710854463
17,Venta,205.72999572753906,4.95599823793715,1019.5974963165011,0.0,19.59749631650095,0.019597496316500953
18,Compra,207.13999938964844,4.92226271758623,0.0,4.92226271758623,19.59749631650095,0.019597496316500953
19,Venta,215.23500061035156,4.92226271758623,1059.443219023983,0.0,59.443219023982806,0.05944321902398281
20,Compra,217.58009338378906,4.869210241376417,0.0,4.869210241376417,59.443219023982806,0.05944321902398281
21,Venta,215.35000610351562,4.869210241376417,1048.5844551997122,0.0,48.584455199712124,0.04858445519971213
22,Compra,216.92999267578125,4.833745865500965,0.0,4.833745865500965,48.584455199712124,0.04858445519971213
23,Venta,218.960205078125,4.833745865500965,1058.39798600563,0.0,58.39798600562983,0.05839798600562983
24,Compra,217.72999572753906,4.861057303882365,0.0,4.861057303882365,58.39798600562983,0.05839798600562983
25,Venta,213.1116943359375,4.861057303882365,1035.948158294455,0.0,35.948158294454856,0.03594815829445486
26,Compra,213.85020446777344,4.84427013232325,0.0,4.84427013232325,35.948158294454856,0.03594815829445486
27,Venta,213.44500732421875,4.84427013232325,1033.9852738742302,0.0,33.985273874230074,0.033985273874230074
28,Compra,212.10000610351562,4.87498936407193,0.0,4.87498936407193,33.985273874230074,0.033985273874230074
29,Venta,213.60000610351562,4.87498936407193,1041.297757920338,0.0,41.29775792033786,0.04129775792033786
30,Compra,213.19000244140625,4.88436486699948,0.0,4.88436486699948,41.29775792033786,0.04129775792033786
31,Venta,214.33999633789062,4.88436486699948,1046.9147477055901,0.0,46.91474770559,0.04691474770559
32,Compra,214.1300048828125,4.889154830396319,0.0,4.889154830396319,46.91474770559,0.04691474770559
33,Venta,213.38999938964844,4.889154830396319,1043.2967462741674,0.0,43.296746274167276,0.043296746274167276
34,Compra,213.59500122070312,4.884462371833091,0.0,4.884462371833091,43.296746274167276,0.043296746274167276
35,Venta,211.75,4.884462371833091,1034.2849072356569,0.0,34.28490723565676,0.03428490723565676
36,Compra,211.77999877929688,4.883770484452218,0.0,4.883770484452218,34.28490723565676,0.03428490723565676
37,Venta,212.22500610351562,4.883770484452218,1036.4582208710415,0.0,36.45822087104136,0.036458220871041364
38,Compra,216.09140014648438,4.796388103221348,0.0,4.796388103221348,36.45822087104136,0.036458220871041364
39,Venta,216.3314971923828,4.796388103221348,1037.6098194856074,0.0,37.60981948560732,0.03760981948560732
40,Compra,216.5399932861328,4.791769888505191,0.0,4.791769888505191,37.60981948560732,0.03760981948560732
41,Venta,217.82000732421875,4.791769888505191,1043.7433522101715,0.0,43.74335221017134,0.04374335221017134
42,Compra,218.35000610351562,4.780138873526536,0.0,4.780138873526536,43.74335221017134,0.04374335221017134
43,Venta,218.15499877929688,4.780138873526536,1042.8111901190512,0.0,42.81119011905105,0.042811190119051046
44,Compra,216.7100067138672,4.81201217208177,0.0,4.81201217208177,42.81119011905105,0.042811190119051046
45,Venta,215.30999755859375,4.81201217208177,1036.0743290228493,0.0,36.074329022849156,0.036074329022849155
46,Compra,214.36000061035156,4.833337964512101,0.0,4.833337964512101,36.074329022849156,0.036074329022849155
47,Venta,213.22000122070312,4.833337964512101,1030.564326693341,0.0,30.56432669334083,0.030564326693340832
48,Compra,210.66000366210938,4.892073999705834,0.0,4.892073999705834,30.56432669334083,0.030564326693340832
49,Venta,210.14010620117188,4.892073999705834,1028.0209498421755,0.0,28.020949842175355,0.028020949842175354
50,Compra,209.0760040283203,4.916972440811167,0.0,4.916972440811167,28.020949842175355,0.028020949842175354
51,Venta,212.36000061035156,4.916972440811167,1044.1682705317412,0.0,44.168270531741086,0.044168270531741084
52,Compra,213.2100067138672,4.89736990596806,0.0,4.89736990596806,44.168270531741086,0.044168270531741084
