Operación,Precio,Cantidad,Budget,Crypto,Ganancia/Pérdida Acumulada,Rendimiento
Compra,42276.01,0.023654077099518143,0.0,0.023654077099518143,0.0,0.0
Venta,42321.1,0.023654077099518143,1001.0665623364173,0.0,1.0665623364172916,0.0010665623364172917
Compra,42377.62,0.023622529116463294,0.0,0.023622529116463294,1.0665623364172916,0.0010665623364172917
Venta,42396.69,0.023622529116463294,1001.5170439666682,0.0,1.5170439666682114,0.0015170439666682114
Compra,42454.01,0.023590634759040857,0.0,0.023590634759040857,1.5170439666682114,0.0015170439666682114
Venta,42487.7,0.023590634759040857,1002.3118124517001,0.0,2.3118124517001206,0.0023118124517001208
Compra,42446.72,0.02361341023409347,0.0,0.02361341023409347,2.3118124517001206,0.0023118124517001208
Venta,42492.46,0.02361341023409347,1003.3918898358074,0.0,3.391889835807433,0.003391889835807433
Compra,42514.28,0.02360129090356952,0.0,0.02360129090356952,3.391889835807433,0.003391889835807433
Venta,42482.0,0.02360129090356952,1002.6300401654403,0.0,2.6300401654402776,0.0026300401654402775
Compra,42492.91,0.023595231302479407,0.0,0.023595231302479407,2.6300401654402776,0.0026300401654402775
Venta,42549.99,0.023595231302479407,1003.9768559681858,0.0,3.9768559681857596,0.0039768559681857595
Compra,42574.24,0.023581791617846515,0.0,0.023581791617846515,3.9768559681857596,0.0039768559681857595
Venta,42588.01,0.023581791617846515,1004.3015772387636,0.0,4.301577238763571,0.0043015772387635706
Compra,42639.02,0.023553580200454036,0.0,0.023553580200454036,4.301577238763571,0.0043015772387635706
Venta,42649.69,0.023553580200454036,1004.5528939395026,0.0,4.55289393950261,0.00455289393950261
Compra,42663.27,0.023546082940653697,0.0,0.023546082940653697,4.55289393950261,0.00455289393950261
Venta,42666.42,0.023546082940653697,1004.6270641007657,0.0,4.627064100765665,0.004627064100765665
Compra,42712.0,0.02352095579932491,0.0,0.02352095579932491,4.627064100765665,0.004627064100765665
Venta,42691.1,0.02352095579932491,1004.1354761245597,0.0,4.135476124559659,0.004135476124559659
Compra,42695.16,0.02351871912705233,0.0,0.02351871912705233,4.135476124559659,0.004135476124559659
Venta,42681.1,0.02351871912705233,1003.8048029336333,0.0,3.8048029336332547,0.003804802933633255
Compra,42607.81,0.023559173844739576,0.0,0.023559173844739576,3.8048029336332547,0.003804802933633255
Venta,42690.2,0.023559173844739576,1005.7458432667014,0.0,5.745843266701399,0.005745843266701399
Compra,42626.53,0.023594363493033597,0.0,0.023594363493033597,5.745843266701399,0.005745843266701399
Venta,42684.15,0.023594363493033597,1007.10535049117,0.0,7.105350491170043,0.007105350491170043
Compra,42755.76,0.02355484618893852,0.0,0.02355484618893852,7.105350491170043,0.007105350491170043
Venta,42648.38,0.02355484618893852,1004.5760311074017,0.0,4.576031107401718,0.004576031107401718
Compra,42715.54,0.023517811810582323,0.0,0.023517811810582323,4.576031107401718,0.004576031107401718
Venta,42646.99,0.023517811810582323,1002.9638851077862,0.0,2.9638851077861545,0.0029638851077861544
Compra,42646.56,0.023518048937775666,0.0,0.023518048937775666,2.9638851077861545,0.0029638851077861544
Venta,42612.24,0.023518048937775666,1002.1567456682417,0.0,2.1567456682416832,0.002156745668241683
Compra,42683.2,0.02347895063322904,0.0,0.02347895063322904,2.1567456682416832,0.002156745668241683
Venta,42845.96,0.02347895063322904,1005.9781796733062,0.0,5.978179673306158,0.005978179673306158
Compra,42775.59,0.02351757578734288,0.0,0.02351757578734288,5.978179673306158,0.005978179673306158
Venta,42725.15,0.02351757578734288,1004.7919531505927,0.0,4.79195315059269,0.00479195315059269
Compra,42777.53,0.02348877911255261,0.0,0.02348877911255261,4.79195315059269,0.00479195315059269
Venta,42731.11,0.02348877911255261,1003.701604024188,0.0,3.7016040241879864,0.0037016040241879865
Compra,42731.04,0.023488817590776822,0.0,0.023488817590776822,3.7016040241879864,0.0037016040241879865
Venta,42812.7,0.023488817590776822,1005.6197008686507,0.0,5.619700868650739,0.005619700868650739
Compra,43063.05,0.02335226373581645,0.0,0.02335226373581645,5.619700868650739,0.005619700868650739
Venta,43152.11,0.02335226373581645,1007.6994534769625,0.0,7.699453476962503,0.0076994534769625035
