corto,mediano,largo,rendimiento
1,11,75,0.655725492911085
1,12,75,0.7261616875760869
1,13,75,0.759342962237044
1,14,75,0.8638310407691483
1,15,75,0.930630688660878
1,16,75,0.9544291052165409
1,17,75,0.8359892118465057
1,18,75,0.8207745213215226
1,19,75,0.814615388761109
1,20,75,0.9218733174146084
1,21,75,0.8510894960660141
1,22,75,0.7146157000261925
1,23,75,0.7318218536790645
1,24,75,0.8235423423426259
1,25,75,0.5971776042781713
2,11,75,0.6502457940157939
2,12,75,0.7161513619977786
2,13,75,0.7357350940407452
2,14,75,0.7142864121867001
2,15,75,0.7475918655302324
2,16,75,0.7052256537493835
2,17,75,0.6734974231054867
2,18,75,0.7230207336138779
2,19,75,0.6928793187685723
2,20,75,0.6978970682478597
2,21,75,0.6745823642178577
2,22,75,0.6034930842796493
2,23,75,0.5945910677538081
2,24,75,0.7660916953150626
2,25,75,0.705827216101559
3,11,75,0.614434426672159
3,12,75,0.890587604314678
3,13,75,0.6871229631188855
3,14,75,0.747717875955446
3,15,75,0.57808603574192
3,16,75,0.581884803681289
3,17,75,0.5905469014230895
3,18,75,0.7199459669415895
3,19,75,0.6228604664968768
3,20,75,0.7857630213488476
3,21,75,0.6579611716448445
3,22,75,0.6973267358946736
3,23,75,0.6595477921752171
3,24,75,0.8335766024657688
3,25,75,0.7580769755150137
4,11,75,0.6002960496186073
4,12,75,0.8644636747927938
4,13,75,0.8173537830981434
4,14,75,0.8629642863808283
4,15,75,0.8193760833046216
4,16,75,0.6667753135684418
4,17,75,0.8678027018074163
4,18,75,0.8406590368034873
4,19,75,0.7798232371162099
4,20,75,0.8409247175174296
4,21,75,0.5581686437617651
4,22,75,0.6562189140864922
4,23,75,0.6787937063698998
4,24,75,0.8796090342679439
4,25,75,0.7867200045866747
5,11,75,0.7094120962111843
5,12,75,1.0488633840296608
5,13,75,0.9268128272987946
5,14,75,0.8176935203788771
5,15,75,0.7600843710561078
5,16,75,0.7345664111392616
5,17,75,0.7182562096201477
5,18,75,0.871745806478328
5,19,75,0.8414622768064104
5,20,75,0.7745614058432762
5,21,75,0.5340649935949263
5,22,75,0.5330186692145753
5,23,75,0.7807009011358519
5,24,75,0.8094960376058161
5,25,75,0.7096304044070155
6,11,75,0.8241956217510037
6,12,75,0.7942475075011067
6,13,75,0.7733038751160094
6,14,75,0.8407495070675571
6,15,75,0.6665502596852765
6,16,75,0.6715919168106729
6,17,75,0.6764697699113068
6,18,75,0.8423454076154291
6,19,75,0.5990057498431243
6,20,75,0.7344193586738026
6,21,75,0.6057378534704269
6,22,75,0.5688080979704262
6,23,75,0.7947097691673646
6,24,75,0.9367573331329984
6,25,75,0.7477635304313262
7,11,75,0.9169629114906727
7,12,75,1.0113901843167612
7,13,75,0.9299222570117353
7,14,75,1.0165287427458078
7,15,75,0.9894970955147651
7,16,75,0.9161201312237136
7,17,75,0.8726848668195676
7,18,75,0.7600878192905689
7,19,75,0.7259108122393869
7,20,75,0.7198090041912418
7,21,75,0.6894045548926039
7,22,75,0.7789786131238922
7,23,75,0.7947621695039537
7,24,75,0.8031582316825474
7,25,75,0.8279298817779266
8,11,75,0.9390396300557514
8,12,75,1.063008616796305
8,13,75,0.7876286352046755
8,14,75,1.0174823380668598
8,15,75,0.9767829437663251
8,16,75,0.8731908424343716
8,17,75,0.7688836047018347
8,18,75,0.8082413949871965
8,19,75,0.6842780910696273
8,20,75,0.7185596559818739
8,21,75,0.7647972475401661
8,22,75,0.8236325751384803
8,23,75,0.9086123659312448
8,24,75,0.8745704682056481
8,25,75,0.6833168858200336
9,11,75,1.2214853099332634
9,12,75,0.8837666045532527
9,13,75,0.5489902051269735
9,14,75,0.8879313608369767
9,15,75,0.8252565101160634
9,16,75,0.9508954814836952
9,17,75,0.7685120526844299
9,18,75,0.7558660167038487
9,19,75,0.735531741669505
9,20,75,0.8493778892672192
9,21,75,0.7321992955065636
9,22,75,0.8671785296452175
9,23,75,0.8206110543534975
9,24,75,0.9837267433131157
9,25,75,0.7291973937510142
10,11,75,0.7618627009484268
10,12,75,0.9146455909110383
10,13,75,0.8874321912274372
10,14,75,0.8491456187317374
10,15,75,0.8720706884566011
10,16,75,0.7946027365497388
10,17,75,0.5913630458900557
10,18,75,0.5806754666619571
10,19,75,0.639194479998316
10,20,75,0.706978934943793
10,21,75,0.7333712923467101
10,22,75,0.6612457977469433
10,23,75,0.7348377226190939
10,24,75,0.6977022652695752
10,25,75,0.6749329962528643
