corto,largo,rendimiento
1,11,0.30673422844378545
1,12,0.33318405883312996
1,13,0.4741435255549278
1,14,0.6129387251473523
1,15,0.6299966854530287
1,16,0.6977431616129569
1,17,0.6866306595706915
1,18,0.6468996820173734
1,19,0.7688863052791394
1,20,0.6721857706272767
1,21,0.7715246028979962
1,22,0.873187607681467
1,23,0.7597345802289286
1,24,0.6853205860440517
1,25,0.7688010275703911
2,11,0.29205532699969544
2,12,0.30661681407786123
2,13,0.4411143839252945
2,14,0.519204625566056
2,15,0.47996935540183644
2,16,0.5876759127333148
2,17,0.5922745429296676
2,18,0.6773730682911308
2,19,0.7182964240492726
2,20,0.8800165418483459
2,21,0.8375310539913062
2,22,0.847888749961612
2,23,0.8489481255453181
2,24,0.7636370022605745
2,25,0.8069445102006462
3,11,0.244310113616448
3,12,0.2179174761816364
3,13,0.38061485081895696
3,14,0.45572184829845924
3,15,0.5962598646696402
3,16,0.8724027301342991
3,17,0.8738812207439212
3,18,0.8393439609459753
3,19,0.8786219511783183
3,20,0.7833369649419079
3,21,0.8162359236849233
3,22,0.8725116944628025
3,23,0.8386702521770258
3,24,0.8535621885699748
3,25,0.7915085841738235
4,11,0.41154764964751916
4,12,0.45551703168359564
4,13,0.5452704853664686
4,14,0.5727204159007537
4,15,0.6191009409245649
4,16,0.7644053379739724
4,17,0.8375451163395744
4,18,0.7459400288330521
4,19,0.6876948817119367
4,20,0.7977168173708041
4,21,0.9373959969424951
4,22,0.9632846886825648
4,23,0.9929769551554436
4,24,0.9093377698833002
4,25,0.8255028099864921
5,11,0.492203227541409
5,12,0.566696832975753
5,13,0.471645209825517
5,14,0.587220359393953
5,15,0.6140682195087696
5,16,0.6457422140661306
5,17,0.745927020122509
5,18,0.7097628735635149
5,19,0.8420635229933616
5,20,0.9900620749960931
5,21,1.1411753695255362
5,22,1.1000692418721778
5,23,1.0943304563176746
5,24,0.8924820035397159
5,25,0.8120980600172341
6,11,0.5875260104338138
6,12,0.5516804095473345
6,13,0.597217660523637
6,14,0.6702871015578614
6,15,0.6786606216058996
6,16,0.8255405128619411
6,17,0.8714499468834336
6,18,0.8239435281218629
6,19,0.8666557025850252
6,20,0.9259240182212015
6,21,1.0792001103174331
6,22,1.0441561166986226
6,23,1.024623076992867
6,24,0.9186861859965217
6,25,0.7979077727770668
7,11,0.530268585703167
7,12,0.6191922405082073
7,13,0.7344116618258233
7,14,0.7903164780134024
7,15,0.7210569466834723
7,16,0.8906529046966802
7,17,0.8675353630487129
7,18,0.9797875744757556
7,19,0.9058644303762479
7,20,1.016932831677172
7,21,1.0923241870938167
7,22,1.136510089408435
7,23,1.022403866793772
7,24,0.9161434723086115
7,25,0.8394615062049099
8,11,0.7310507229577458
8,12,0.7355159905906848
8,13,0.8663366892221845
8,14,0.9801654337682255
8,15,0.8916419996753502
8,16,1.0392987701091252
8,17,1.0252264682872925
8,18,1.0097718713797048
8,19,1.1261936177801082
8,20,1.296090179988155
8,21,1.216791979408879
8,22,1.1756441378435647
8,23,1.2367984039398956
8,24,1.0924901380043928
8,25,1.0153183799562797
9,11,0.9237008192359403
9,12,0.8685182068627284
9,13,0.9474827527810029
9,14,1.0870827719251892
9,15,1.0740348965989246
9,16,1.2545130721620694
9,17,1.1117358966764193
9,18,1.2737084666075604
9,19,1.2411370933678763
9,20,1.512026796404212
9,21,1.5302136064760774
9,22,1.572478002543231
9,23,1.736106409491772
9,24,1.3489970260806958
9,25,1.1022234033150962
10,11,0.6499860806107995
10,12,0.9041499353747513
10,13,1.1659890288924715
10,14,1.0024942963209331
10,15,1.0553105859065863
10,16,1.2792969069356204
10,17,1.0749311052681432
10,18,1.2444644190877685
10,19,1.3819344257127049
10,20,1.6144804672713102
10,21,1.578391157134898
10,22,1.6427593301800467
10,23,1.3633121009733244
10,24,1.0500556038313957
10,25,0.9938595482328705
