Operación,Precio,Cantidad,Budget,Crypto,Ganancia/Pérdida Acumulada,Rendimiento
Compra,42454.01,0.023554900938686354,0.0,0.023554900938686354,0.0,0.0
Venta,42612.24,0.023554900938686354,1003.7270919755282,0.0,3.7270919755283103,0.00372709197552831
Compra,42839.74,0.023429812878778634,0.0,0.023429812878778634,3.7270919755283103,0.00372709197552831
Venta,43529.93,0.023429812878778634,1019.8981145263325,0.0,19.89811452633262,0.01989811452633262
Compra,44084.87,0.023134878576852612,0.0,0.023134878576852612,19.89811452633262,0.01989811452633262
Venta,45179.48,0.023134878576852612,1045.221783965341,0.0,45.22178396534116,0.04522178396534116
Compra,45526.42,0.022958576228162483,0.0,0.022958576228162483,45.22178396534116,0.04522178396534116
Venta,45560.0,0.022958576228162483,1045.9927329550828,0.0,45.99273295508294,0.045992732955082945
Compra,45768.77,0.022853852811755327,0.0,0.022853852811755327,45.99273295508294,0.045992732955082945
Venta,45004.01,0.022853852811755327,1028.5150204787649,0.0,28.515020478764995,0.028515020478764995
Compra,44981.73,0.022865172604049796,0.0,0.022865172604049796,28.515020478764995,0.028515020478764995
Venta,45160.07,0.022865172604049796,1032.592795360971,0.0,32.59279536097108,0.03259279536097108
Compra,45256.89,0.02281625616256378,0.0,0.02281625616256378,32.59279536097108,0.03259279536097108
Venta,45064.73,0.02281625616256378,1028.208423576773,0.0,28.208423576773043,0.028208423576773042
Compra,45344.67,0.022675397650413445,0.0,0.022675397650413445,28.208423576773043,0.028208423576773042
Venta,44358.36,0.022675397650413445,1005.8434521201938,0.0,5.843452120193888,0.005843452120193888
Compra,43000.01,0.023391702748910843,0.0,0.023391702748910843,5.843452120193888,0.005843452120193888
Venta,42255.72,0.023391702748910843,988.4332416812069,0.0,-11.56675831879295,-0.01156675831879295
Compra,42816.0,0.02308560448620158,0.0,0.02308560448620158,-11.56675831879295,-0.01156675831879295
Venta,42845.23,0.02308560448620158,989.1080339003387,0.0,-10.891966099661204,-0.010891966099661204
Compra,42890.36,0.02306131340236684,0.0,0.02306131340236684,-10.891966099661204,-0.010891966099661204
Venta,42989.58,0.02306131340236684,991.3961774161215,0.0,-8.603822583878355,-0.008603822583878354
Compra,43073.26,0.023016511344071042,0.0,0.023016511344071042,-8.603822583878355,-0.008603822583878354
Venta,44213.52,0.023016511344071042,1017.6409846413119,0.0,17.640984641312002,0.017640984641312002
Compra,44384.21,0.022927995894064846,0.0,0.022927995894064846,17.640984641312002,0.017640984641312002
Venta,44195.98,0.022927995894064846,1013.3252479741722,0.0,13.325247974172271,0.01332524797417227
Compra,43641.99,0.02321904312736821,0.0,0.02321904312736821,13.325247974172271,0.01332524797417227
Venta,43858.4,0.02321904312736821,1018.350081097366,0.0,18.350081097366115,0.018350081097366116
Compra,43888.5,0.02320311883744867,0.0,0.02320311883744867,18.350081097366115,0.018350081097366116
Venta,43486.04,0.02320311883744867,1009.0117538900464,0.0,9.01175389004652,0.00901175389004652
Compra,43610.07,0.023137127592091605,0.0,0.023137127592091605,9.01175389004652,0.00901175389004652
Venta,43889.33,0.023137127592091605,1015.4730281414139,0.0,15.473028141414147,0.015473028141414148
Compra,43692.33,0.02324144828489151,0.0,0.02324144828489151,15.473028141414147,0.015473028141414148
Venta,43666.12,0.02324144828489151,1014.8638697818669,0.0,14.863869781867152,0.014863869781867151
Compra,43853.99,0.02314188218180072,0.0,0.02314188218180072,14.863869781867152,0.014863869781867151
Venta,43859.91,0.02314188218180072,1015.0008697243833,0.0,15.000869724383506,0.015000869724383506
Compra,43968.32,0.023084822656958083,0.0,0.023084822656958083,15.000869724383506,0.015000869724383506
Venta,43993.82,0.023084822656958083,1015.5895327021357,0.0,15.589532702136012,0.015589532702136012
Compra,43962.71,0.023101158520531052,0.0,0.023101158520531052,15.589532702136012,0.015589532702136012
Venta,43938.9,0.023101158520531052,1015.0394941177619,0.0,15.039494117762274,0.015039494117762274
Compra,44044.0,0.02304603337838893,0.0,0.02304603337838893,15.039494117762274,0.015039494117762274
Venta,44091.11,0.02304603337838893,1016.1251927502178,0.0,16.12519275021816,0.016125192750218162
Compra,44075.42,0.023054237322076974,0.0,0.023054237322076974,16.12519275021816,0.016125192750218162
Venta,43977.0,0.023054237322076974,1013.8561947129791,0.0,13.856194712979345,0.013856194712979344
Compra,43491.1,0.023311808501348074,0.0,0.023311808501348074,13.856194712979345,0.013856194712979344
Venta,43720.46,0.023311808501348074,1019.2029911108484,0.0,19.20299111084853,0.01920299111084853
Compra,44182.25,0.023068154996878802,0.0,0.023068154996878802,19.20299111084853,0.01920299111084853
Venta,44982.63,0.023068154996878802,1037.6662810072503,0.0,37.666281007250404,0.037666281007250405
Compra,45131.51,0.022992057677823106,0.0,0.022992057677823106,37.666281007250404,0.037666281007250405
Venta,46670.0,0.022992057677823106,1073.0393318240044,0.0,73.03933182400453,0.07303933182400453
Compra,46818.17,0.022919292484605964,0.0,0.022919292484605964,73.03933182400453,0.07303933182400453
Venta,46626.0,0.022919292484605964,1068.6349313872377,0.0,68.63493138723777,0.06863493138723777
Compra,46908.34,0.02278134189756529,0.0,0.02278134189756529,68.63493138723777,0.06863493138723777
Venta,46588.01,0.02278134189756529,1061.3373841371908,0.0,61.33738413719095,0.061337384137190955
Compra,46713.22,0.022720278844772224,0.0,0.022720278844772224,61.33738413719095,0.061337384137190955
Venta,46602.01,0.022720278844772224,1058.8106619268638,0.0,58.81066192686387,0.05881066192686387
Compra,46768.65,0.022639324888079168,0.0,0.022639324888079168,58.81066192686387,0.05881066192686387
